File,Time [MJD],Epoch,SNR,CBC RV [m/s],CBC RV Error [m/s],CCF RV [m/s],CCF RV Error [m/s],S Value,H-alpha Emission,H-alpha Equiv. Width [A],CCF FWHM [m/s],CCF FWHM Err. [m/s],BIS [m/s],V_span [m/s],Bi-Gaussian [m/s],Skew Normal,Date Generated
101501_190210.1141.fits,18524.97062214730,4,246.99392705084900,1.6850066184997600,0.3306455612182620,-5555.42158,0.26936,0.1618706867393580,0.2313696797591160,1.931190124042840,7589.795892619400,41.06646777980990,-71.87958478055040,-64.95391115962680,2.106879699908860,-0.00035370191737934,2020-09-08T16:09:52.446
101501_190210.1148.fits,18524.98400493970,4,86.81013765684280,2.2074038982391400,0.8790214657783510,-5556.3437300000000,0.82565,0.1561236439569640,0.2325972433586850,1.955677761428960,7614.252277046880,42.59394681515450,-68.21176672892030,-66.05722174019680,2.23227748024965,-0.9632219926502290,2020-09-08T16:10:08.315
101501_190210.1153.fits,18524.996120708700,4,260.2729336677170,3.414797782897950,0.33358922600746200,-5555.1390600000000,0.25805,0.1639524215940810,0.2324965763406990,1.933659204008140,7590.468775851530,40.95162935407300,-70.78938728205050,-64.6058597988067,2.091022813699970,-0.9639209758250520,2020-09-08T16:10:23.891
101501_190210.1154.fits,18525.001738539300,4,257.8216437772440,3.61635422706604,0.3237852156162260,-5555.35967,0.26118000000000000,0.167618471894986,0.2346565271713050,1.926930708903490,7590.079996828980,40.97026540394100,-70.89170893690150,-65.13889432815810,2.097037844364420,-0.9640914429429610,2020-09-08T16:10:39.696
101501_190210.1155.fits,18525.007847957800,4,259.457125552566,2.186817169189450,0.3225116729736330,-5556.46365,0.25812,0.1664343122112670,0.2324952726669220,1.935088875249500,7587.647481777200,40.94766011856710,-70.38055460768920,-64.04371998183800,2.032842446540600,-0.9615680525728220,2020-09-08T16:10:55.285
101501_190317.1083.fits,18559.76410035070,4,201.50434238497200,8.3607816696167,0.35889649391174300,-5552.37595,0.34265,,0.230340177805172,1.933533412792240,7644.329801955720,41.75529492788120,-78.54427519060570,-74.02130801777180,2.717400917990740,0.001813647912548700,2020-09-08T16:11:08.635
101501_190317.1084.fits,18559.768522282100,4,202.91870293297300,7.5210723876953100,0.3751181960105900,-5552.074130000000,0.3395,,0.2375619470133480,1.938765655104580,7645.436169231980,41.81027956868470,-76.7262489853756,-71.38407978017400,2.657022250742560,-0.00137377266428937,2020-09-08T16:11:21.426
101501_190317.1085.fits,18559.77287035820,4,195.87240744933900,6.012210369110110,0.36450105905532800,-5552.25004,0.35351,,0.2341913161438000,1.939258647414100,7644.630357482900,41.85039166955980,-77.3214039556151,-71.3380299585524,2.692999571509970,-0.9838083443185440,2020-09-08T16:11:34.411
101501_190427.1068.fits,18600.813854695900,4,254.20660888340400,-5.184566020965580,0.3647185266017910,-5563.24745,0.26193,0.1683569607346520,0.238784114027848,1.931149366179880,7613.442696952840,40.97214063154830,-36.80349282316180,-40.32784088020620,1.141794564779050,0.4485868962823910,2020-09-08T16:11:50.257
101501_190503.1087.fits,18606.813635470000,4,310.15963631652700,2.993962049484250,0.28834038972854600,-5553.55422,0.21608,0.1657865407335180,0.2251064158311150,1.967235021886340,7574.68479818871,40.66398654156240,-72.62945626961390,-69.47607354303450,2.799927049389230,-0.9688094045123700,2020-09-08T16:12:06.092
101501_190505.1069.fits,18608.814185996600,4,313.4852468617940,3.366283416748050,0.3239053785800930,-5553.50497,0.21339,0.1658623009127530,0.2267543313286670,1.960540803239410,7580.950292812740,40.53502293511250,-69.22142756746330,-66.61806707167130,2.654256096548120,7.61428409406363E-05,2020-09-08T16:12:21.835
101501_190506.1076.fits,18609.843300395900,4,217.2855264392910,4.281416416168210,0.36428847908973700,-5553.74751,0.30804,0.1670309058274050,0.2310916162393100,1.954703364780490,7586.852119945120,40.82969648954660,-65.24675372670300,-65.13775086062470,2.521314960225030,0.000831907192353619,2020-09-08T16:12:37.523
101501_190513.1121.fits,18616.751555778700,4,279.18989953076700,-2.182298183441160,0.3367249369621280,-5560.38725,0.24111000000000000,0.1655712796578470,0.2347471893621470,1.958293243275930,7605.963920965630,40.78556198988990,-39.8511141680201,-43.22709613026930,1.40415508314436,-0.8892049714435740,2020-09-08T16:12:53.181
101501_190518.1122.fits,18621.765176689700,4,274.08210448695800,3.5795795917511000,0.3265089988708500,-5553.2511000000000,0.24522,0.1596706763403960,0.2288346569311660,1.95238987261873,7563.747199630620,40.70804271868240,-68.64133027614570,-67.317299065312,2.747830779151630,-0.00028829548892347,2020-09-08T16:13:09.061
101501_190531.1107.fits,18634.67299599140,4,277.5427894938000,5.456403732299810,0.3085060119628910,-5552.94246,0.23930000000000000,0.1715294859357190,0.2330882496063030,1.951937823374940,7588.796905150390,40.53039659673640,-50.54948582529870,-50.34989559688260,1.896455026351760,-0.0040255819905169,2020-09-08T16:13:24.981
101501_190607.1069.fits,18641.65861521440,4,203.5583454442490,6.1635355949401900,0.40454503893852200,-5552.895060000000,0.34611,,0.2315930831356030,1.963900958081660,7627.146644039220,41.58214000993120,-61.71895995015170,-59.46787538065470,2.32850724324453,0.00026396397124881,2020-09-08T16:13:38.026
101501_190607.1070.fits,18641.66419015510,4,259.5881353220910,4.770299911499020,0.3862208425998690,-5553.94265,0.27167,,0.2336956828090720,1.961568996817920,7622.731235924560,41.26258835575240,-60.63584250058920,-58.25806091241700,2.263059209149110,-0.9416958489375580,2020-09-08T16:13:51.004
101501_190608.1082.fits,18642.685092243500,4,241.06015846672000,3.976140022277830,0.33427831530571000,-5554.7343200000000,0.26817,,0.2300621923221230,1.963355256726100,7620.004720085390,41.39652378738060,-55.83018289015400,-53.91725512876200,2.023768669888340,-0.9284788968519250,2020-09-08T16:14:03.723
101501_190612.1068.fits,18646.677233202700,4,186.21761463406200,5.907893180847170,0.40504777431488000,-5553.20184,0.3763,,0.2324979013962590,1.967029703418380,7629.159489254740,41.51368727711010,-62.73896568462810,-56.66912823582610,2.402195813952860,-0.00222004866284929,2020-09-08T16:14:16.534
101501_191107.1170.fits,18795.036226367900,5,243.84421256203700,-6.911335468292240,0.3696832060813900,-5565.34338,0.27634000000000000,0.1599497409753320,0.2239735806870200,1.975730163233490,7574.584454355840,41.27282826554630,-47.74007732574590,-48.96252905314580,0.9566136152352560,0.003629802429419420,2020-09-08T16:14:32.526
101501_191107.1171.fits,18795.03933493890,5,198.4515054112720,-5.087527275085450,0.40753373503685,-5564.98237,0.34235,0.1667928694367360,0.2271197053231170,1.981889298487350,7575.896909990240,41.41142991933970,-48.67781225526230,-49.44878608032740,0.939157560980675,-0.9135243145133100,2020-09-08T16:14:48.133
101501_191109.1267.fits,18797.03476067390,5,211.33149315707800,-4.130949020385740,0.3840513825416570,-5562.96572,0.32016,0.1496737140801990,0.2225706436501260,1.938243967536170,7558.216940258500,41.16947095606090,-67.55519486860250,-34.14883755392750,1.80317230734363,-0.9589381977124010,2020-09-08T16:15:03.863
101501_191109.1268.fits,18797.037948223900,5,210.6727319801970,-6.115764617919920,0.3706285357475280,-5563.57491,0.31951,0.1533169301166490,0.219802308756141,1.948604548568580,7554.930654269500,41.11455193434920,-65.85613482086960,-33.59452755443910,1.775493266703050,-0.9548554674987100,2020-09-08T16:15:19.500
101501_191212.1139.fits,18829.990645001300,5,211.80415482232600,-8.461838722229000,0.34195154905319200,-5566.6296600000000,0.31616,0.1533519804075740,0.228419235353059,1.963088400623650,7580.110453786900,41.67190331136430,-50.47668095804970,-50.56609574088000,1.021125298470000,0.004366270923131920,2020-09-08T16:15:35.087
101501_191212.1140.fits,18829.993358159100,5,210.73917528547000,-6.680121898651120,0.3820999264717100,-5566.332120000000,0.31624000000000000,0.1561584493291910,0.2250155499320180,1.965110701788050,7581.593633056500,41.6926947318941,-52.42588761815660,-51.02513377739430,1.078879054275600,-0.918678730157161,2020-09-08T16:15:50.870
101501_191212.1141.fits,18829.997062275700,5,211.25576915199300,-9.255884170532230,0.370059609413147,-5565.85569,0.31604,0.152836825028504,0.2243634871565250,1.951620284371090,7579.167829146620,41.65675891217110,-51.93603192472440,-51.41301189814200,1.085691805458740,0.002490680303141450,2020-09-08T16:16:06.522
101501_191212.1142.fits,18830.001221484900,5,210.78899402008600,-7.753451824188230,0.4034145772457120,-5565.85238,0.31681000000000000,0.1521773162655040,0.2240302141150480,1.973232537886690,7580.868157016200,41.73921800318510,-50.72275290590370,-50.56077655897390,0.9920717462318860,-0.00612726423636941,2020-09-08T16:16:22.156
101501_200228.1094.fits,18907.923179111600,5,205.97087172704800,3.953622341156010,0.36233797669410700,-5555.038170000000,0.33098,0.1409637613425800,0.230094442250194,1.933415856679850,7596.335905182940,41.02173288121720,-73.544315600353,-70.47028121424590,2.376203837522550,-0.00470750875597512,2020-09-08T16:16:37.670
101501_200228.1095.fits,18907.927509746500,5,206.80909070928200,3.9802634716033900,0.3560943901538850,-5554.323810000000,0.33001000000000000,0.1571023397638690,0.2273321784988440,1.932508562554320,7595.11990585211,41.00629748930370,-74.50869070815320,-70.65852083827850,2.495196729720190,0.002049363166400300,2020-09-08T16:16:53.400
101501_200624.1066.fits,19024.658408019000,5,210.1499464668030,-5.759720802307130,0.3698487877845760,-5563.3389100000000,0.31524,0.1620775806936650,0.2232360000907710,1.977527575350390,7592.656043966940,40.81467868998850,-53.33489073280820,-52.41893984528910,2.047243394501490,0.001038471891157220,2020-09-08T16:17:09.107
101501_200624.1067.fits,19024.666807735400,5,209.79990467109400,-6.152082443237310,0.3644028902053830,-5563.73507,0.31682,0.1632483888247600,0.2294115072503650,1.970019217693040,7590.122465292660,40.80762613257630,-52.5289550663274,-51.49825932669590,1.975196437889280,0.002235842438540540,2020-09-08T16:17:24.790
101501_200624.1068.fits,19024.675165478200,5,210.1547049199710,-6.9597296714782700,0.3599093556404110,-5563.661580000000,0.31779,0.1540119113535350,0.2285068929742390,1.981718533249040,7594.096360553660,40.81703775406500,-53.93981984348830,-52.84488168828100,2.035615223690000,0.0034858860684858,2020-09-08T16:17:40.454
101501_200628.1090.fits,19028.655195040800,5,214.99069747317000,3.4706552028656000,0.37161749601364100,-5554.46747,0.31966,0.1514571677802820,0.2234970427169570,1.981477078777920,7572.574780228270,40.56872026927710,-68.38655593233940,-57.74490088396850,2.703513632955040,-0.9575885448478490,2020-09-08T16:17:56.026
101501_200628.1091.fits,19028.658095395800,5,214.56467556426900,1.19902503490448,0.3836207687854770,-5555.22929,0.32052000000000000,0.1656430143910090,0.2264974846003160,1.99268946199837,7572.828196954680,40.63215445800450,-67.26067078893270,-57.58775688268000,2.689816297517610,-0.9567033321820410,2020-09-08T16:18:12.290
101501_200628.1092.fits,19028.66132218570,5,213.24164696418900,1.8596192598342900,0.3862922191619870,-5555.287980000000,0.32098,0.1472616886460690,0.2249124899925700,1.992877717905460,7572.504304874610,40.55029448618210,-67.43888022346160,-57.37569151508890,2.709427552790660,-0.9568333855396250,2020-09-08T16:18:27.851
101501_200630.1093.fits,19030.687837516000,5,160.65802189744500,-0.6402197480201720,0.4646630585193630,-5559.020600000000,0.43579,0.1607183637436720,0.2264267703671580,2.010479374867060,7570.49543651059,40.84617200552040,-63.97558878035400,-55.50261887316540,2.525248269920670,-0.9504231064066680,2020-09-08T16:18:43.625
101501_200630.1094.fits,19030.70024552360,5,216.06943328476600,-1.6341222524642900,0.37818244099617000,-5557.98775,0.3187,0.1522880263729390,0.2234385542133790,2.005747980470070,7563.507879655040,40.58596856456200,-63.33998505676030,-55.14969398042470,2.526258758351110,0.002489460736604380,2020-09-08T16:18:59.343
101501_200630.1096.fits,19030.711879239200,5,215.67568244936700,-1.827191710472110,0.39115139842033400,-5558.00754,0.32022,0.1451219913465490,0.223454050502788,2.013856552225100,7566.597603226650,40.62131776846070,-63.26975019869950,-55.35939454221900,2.505684609242960,-0.00423245463569096,2020-09-08T16:19:14.957
101501_200701.1071.fits,19031.657957430800,5,230.28460651984500,-1.6268281936645500,0.3463304042816160,-5558.4494700000000,0.32468,,0.2265348851213660,1.981291204033840,7558.406463525210,40.66750603218150,-71.43335397632380,-62.80895790276920,3.009770494114490,-0.9715377922046630,2020-09-08T16:19:28.042
101501_200701.1072.fits,19031.662402715900,5,225.4927936764280,-0.12440203875303300,0.36101388931274400,-5558.03008,0.33428000000000000,,0.227381068246832,1.977762526014240,7554.280439208310,40.6442007909549,-71.37291174094390,-62.51467421817320,3.02927324817756,0.001715841205514260,2020-09-08T16:19:41.034
101501_200701.1073.fits,19031.666644883800,5,227.93200740571700,0.7095480561256410,0.3661996126174930,-5558.559,0.33553,,0.2285857697101560,1.974855517339280,7549.42378115317,40.51595869375570,-73.03339751514890,-63.24486544495450,3.095820458756860,-0.00455395499519053,2020-09-08T16:19:53.771
101501_200703.1070.fits,19033.656607803200,5,221.69122670958400,4.59332275390625,0.44127047061920200,-5552.26169,0.31059000000000000,0.1430249613331420,0.2281985002186230,2.019110994547680,7573.247753176070,40.70871025554260,-71.11698560501830,-61.01259482784920,2.83764703468114,-0.9637318142504990,2020-09-08T16:20:09.465
101501_200703.1071.fits,19033.658553541900,5,219.32168155474300,2.3099446296691900,0.4121130704879760,-5552.38701,0.31428,0.1659988555899740,0.2242137855655430,2.020171044796680,7574.026872713410,40.59112875924480,-69.47642947730580,-59.77038522948620,2.750043808533520,0.001110904058452640,2020-09-08T16:20:24.871
101501_200703.1072.fits,19033.662270248500,5,219.22591087734100,3.2550203800201400,0.3769523799419400,-5552.610250000000,0.31377,0.1581857529980690,0.225716028323102,2.018651420616680,7572.548913773880,40.65618791074260,-70.14118322250310,-60.8521001780382,2.797660976978480,-0.00987954604814909,2020-09-08T16:20:40.342